Hours since 1 January 2017 00:00,Measured grid demand (MW)
3744,5676.78
3744.5,5493.8
3745,5326.12
3745.5,5226.63
3746,5160.44
3746.5,5124.3
3747,5093.21
3747.5,5096.81
3748,5119.9
3748.5,5212.84
3749,5312.98
3749.5,5581.85
3750,5828.06
3750.5,6263.46
3751,6658.91
3751.5,7031.97
3752,6975.46
3752.5,6720.8
3753,6474.62
3753.5,6280.93
3754,6099.11
3754.5,5992.93
3755,5892.97
3755.5,5801.89
3756,5803.52
3756.5,5811.75
3757,5802.27
3757.5,5816.91
3758,5845.82
3758.5,5959.59
3759,6022.96
3759.5,6114.21
3760,6358.98
3760.5,6566.68
3761,6845.12
3761.5,7188.67
3762,7430.4
3762.5,7470.75
3763,7511.53
3763.5,7393.2
3764,7298.68
3764.5,7245.77
3765,7022.88
3765.5,6869.49
3766,6624.47
3766.5,6409.04
3767,6301
3767.5,6056.24
3768,5740.46
3768.5,5558.79
3769,5403.06
3769.5,5288.34
3770,5190.73
3770.5,5141.4
3771,5130.11
3771.5,5104.57
3772,5142.75
3772.5,5243.58
3773,5385.49
3773.5,5659.85
3774,6002.25
3774.5,6428.24
3775,6881.03
3775.5,7222.09
3776,7096.67
3776.5,6825.72
3777,6591.75
3777.5,6410.62
3778,6195.38
3778.5,6007
3779,5875.25
3779.5,5792.13
3780,5722.95
3780.5,5705.71
3781,5701.43
3781.5,5728.87
3782,5787.66
3782.5,5873.59
3783,5969.36
3783.5,6109.58
3784,6310.59
3784.5,6531.49
3785,6888.53
3785.5,7226.58
3786,7536.82
3786.5,7568.34
3787,7627.18
3787.5,7462
3788,7389.03
3788.5,7381.45
3789,7159.1
3789.5,6950.98
3790,6687.29
3790.5,6501.38
3791,6382.91
3791.5,6132.32
3792,5810.77
3792.5,5566.16
3793,5409.5
3793.5,5310.18
3794,5250.67
3794.5,5213.92
3795,5160
3795.5,5178.52
3796,5207.6
3796.5,5297.95
3797,5407.15
3797.5,5677.33
3798,5979.37
3798.5,6481.45
3799,6905.36
3799.5,7276.95
3800,7160.07
3800.5,6882.97
3801,6597.2
3801.5,6372.09
3802,6155.83
3802.5,6020.56
3803,5838.97
3803.5,5745.28
3804,5708.07
3804.5,5708.85
3805,5699.61
3805.5,5743.51
3806,5803.73
3806.5,5853.3
3807,5932.2
3807.5,6097.51
3808,6295.63
3808.5,6531.5
3809,6849.01
3809.5,7172.23
3810,7461.17
3810.5,7542.74
3811,7595.16
3811.5,7498.83
3812,7441.1
3812.5,7385.61
3813,7195.93
3813.5,6984.32
3814,6713.56
3814.5,6544.89
3815,6385.05
3815.5,6170.71
3816,5846.26
3816.5,5625.25
3817,5500.64
3817.5,5360.3
3818,5250.54
3818.5,5209.32
3819,5198.04
3819.5,5211.7
3820,5232.1
3820.5,5309.07
3821,5438.71
3821.5,5710.82
3822,5971.28
3822.5,6446.61
3823,6875.26
3823.5,7192.98
3824,7073.87
3824.5,6812.24
3825,6495.37
3825.5,6159.43
3826,5996.19
3826.5,5905.56
3827,5842.62
3827.5,5793.58
3828,5815.79
3828.5,5817.31
3829,5889.54
3829.5,5973.38
3830,6077.82
3830.5,6129.26
3831,6183.83
3831.5,6259.61
3832,6388.51
3832.5,6570.65
3833,6824.37
3833.5,7100.53
3834,7174.45
3834.5,7148.23
3835,7174.79
3835.5,7071.39
3836,6983.46
3836.5,6929.46
3837,6748.86
3837.5,6607.98
3838,6426.12
3838.5,6350.24
3839,6268.26
3839.5,6096.9
3840,5765.6
3840.5,5536.06
3841,5389.66
3841.5,5267.26
3842,5180.39
3842.5,5164.21
3843,5113.34
3843.5,5095.77
3844,5107.34
3844.5,5139.88
3845,5172.52
3845.5,5278.66
3846,5404.36
3846.5,5554.41
3847,5719.15
3847.5,5938.56
3848,5998.46
3848.5,6044.26
3849,5984.11
3849.5,5887.62
3850,5782.25
3850.5,5658.45
3851,5588.07
3851.5,5520.62
3852,5515.72
3852.5,5534.25
3853,5614.23
3853.5,5606.51
3854,5600.49
3854.5,5659.28
3855,5732.83
3855.5,5804.23
3856,5954.46
3856.5,6140.75
3857,6407.72
3857.5,6716.95
3858,6832.71
3858.5,6820.34
3859,6764.4
3859.5,6671.33
3860,6580.6
3860.5,6528.33
3861,6361.97
3861.5,6235.02
3862,6147.56
3862.5,6079.22
3863,6048.94
3863.5,5898.63
3864,5580.25
3864.5,5444.15
3865,5288.21
3865.5,5182.61
3866,5104.98
3866.5,5045.17
3867,5013.59
3867.5,5008.76
3868,4961.1
3868.5,5011.52
3869,5029.19
3869.5,5086.06
3870,5115.11
3870.5,5246.33
3871,5397.02
3871.5,5579.71
3872,5685.82
3872.5,5885.37
3873,6033.27
3873.5,6116.65
3874,6106.02
3874.5,6074.23
3875,6070.11
3875.5,6053.62
3876,5981.02
3876.5,5944.78
3877,5909.22
3877.5,5887.98
3878,5909.47
3878.5,5891.64
3879,5872.2
3879.5,5951.61
3880,6090.78
3880.5,6285.37
3881,6568.49
3881.5,6918.9
3882,7094.65
3882.5,7119.38
3883,7023.46
3883.5,6885.39
3884,6775.81
3884.5,6703.7
3885,6516.81
3885.5,6365.84
3886,6172.89
3886.5,6124
3887,6026.89
3887.5,5834.32
3888,5578.53
3888.5,5399.18
3889,5277.5
3889.5,5141.28
3890,5078.39
3890.5,5063.78
3891,5010.28
3891.5,5001.59
3892,5021.09
3892.5,5115.27
3893,5213.38
3893.5,5442.38
3894,5675.82
3894.5,6125.39
3895,6538.3
3895.5,6887.62
3896,6933.59
3896.5,6668.17
3897,6190.48
3897.5,6089.25
3898,6111.9
3898.5,6131.46
3899,6205.52
3899.5,6154.51
3900,6112.77
3900.5,6103.66
3901,6130.82
3901.5,6161.38
3902,6230.75
3902.5,6264.41
3903,6308.53
3903.5,6429.82
3904,6594.68
3904.5,6753.67
3905,7003.49
3905.5,7298.7
3906,7427.11
3906.5,7482.8
3907,7446.04
3907.5,7284.32
3908,7140.15
3908.5,7095.06
3909,6853.69
3909.5,6690.52
3910,6478.6
3910.5,6297.87
3911,6132.87
3911.5,5999.42
3912,5680.78
3912.5,5474.22
3913,5310.55
3913.5,5183.56
3914,5091.96
3914.5,5068.62
3915,5062.48
3915.5,5029.2
3916,5037.66
3916.5,5182.55
3917,5284.38
3917.5,5442.89
3918,5713.41
3918.5,6163.59
3919,6592.09
3919.5,6910.19
3920,7000.62
3920.5,6867.87
3921,6758.31
3921.5,6756.44
3922,6688.78
3922.5,6630.81
3923,6605.97
3923.5,6564.05
3924,6583.78
3924.5,6620.5
3925,6631.08
3925.5,6699.84
3926,6676.64
3926.5,6692.39
3927,6662.74
3927.5,6716.71
3928,6838.76
3928.5,7009.17
3929,7228.56
3929.5,7562.5
3930,7728.68
3930.5,7690.45
3931,7658.03
3931.5,7461.49
3932,7366.72
3932.5,7303.2
3933,7043.99
3933.5,6864.62
3934,6570.77
3934.5,6401.18
3935,6265.46
3935.5,6031.72
3936,5722.75
3936.5,5534.65
3937,5401.13
3937.5,5239.8
3938,5177.71
3938.5,5117.39
3939,5108.59
3939.5,5097.87
3940,5151.15
3940.5,5245.14
3941,5336.33
3941.5,5517.76
3942,5806.26
3942.5,6242.38
3943,6638.61
3943.5,6974.26
3944,7007.54
3944.5,6833.95
3945,6678.44
3945.5,6626.16
3946,6540.64
3946.5,6489.05
3947,6419.14
3947.5,6350.84
3948,6364.08
3948.5,6340.29
3949,6365.57
3949.5,6436.89
3950,6473.78
3950.5,6544.92
3951,6537.73
3951.5,6620.08
3952,6733.68
3952.5,6879.02
3953,7110.39
3953.5,7426.68
3954,7563.25
3954.5,7550.92
3955,7515.17
3955.5,7321.77
3956,7251.44
3956.5,7176.25
3957,6945.91
3957.5,6756.53
3958,6526.28
3958.5,6384.79
3959,6247.57
3959.5,6024.98
3960,5721.48
3960.5,5506.9
3961,5409.95
3961.5,5258.38
3962,5195.83
3962.5,5145.13
3963,5146.94
3963.5,5158.1
3964,5158.52
3964.5,5238.08
3965,5308.45
3965.5,5529.57
3966,5803.89
3966.5,6247.88
3967,6580.16
3967.5,6966.07
3968,6934.67
3968.5,6852.13
3969,6590.48
3969.5,6452.85
3970,6273.41
3970.5,6204.78
3971,6208.23
3971.5,6288.3
3972,6239.93
3972.5,6140.27
3973,6136.72
3973.5,6199.74
3974,6308.44
3974.5,6399.58
3975,6419.84
3975.5,6451.35
3976,6562.66
3976.5,6721.28
3977,6913.93
3977.5,7214.25
3978,7436.78
3978.5,7449.03
3979,7429.66
3979.5,7260.32
3980,7165.2
3980.5,7117.07
3981,6949.39
3981.5,6774.26
3982,6520.06
3982.5,6364.22
3983,6282.79
3983.5,6074.81
3984,5758.84
3984.5,5543.28
3985,5417.07
3985.5,5315.83
3986,5215.96
3986.5,5189.54
3987,5171.46
3987.5,5158.47
3988,5205.46
3988.5,5279.51
3989,5380.74
3989.5,5607.74
3990,5814.27
3990.5,6203.76
3991,6549.69
3991.5,6855.27
3992,6865.89
3992.5,6763.38
3993,6554.86
3993.5,6469.71
3994,6355.96
3994.5,6351.09
3995,6308.9
3995.5,6327.37
3996,6372.01
3996.5,6330.46
3997,6317.06
3997.5,6229.26
3998,6258.24
3998.5,6353.44
3999,6408.57
3999.5,6415.08
4000,6496.3
4000.5,6675.69
4001,6840.03
4001.5,7099.33
4002,7178.79
4002.5,7132.73
4003,7077.42
4003.5,6909.35
4004,6816.8
4004.5,6775.2
4005,6607.36
4005.5,6474.48
4006,6273
4006.5,6211.91
4007,6167.42
4007.5,5951.69
4008,5644.15
4008.5,5428.19
4009,5311.55
4009.5,5156.5
4010,5088.96
4010.5,5041.89
4011,5031.63
4011.5,5020.39
4012,5011.85
4012.5,5051.37
4013,5090.4
4013.5,5168.89
4014,5269.27
4014.5,5426.03
4015,5545.18
4015.5,5789.73
4016,5901.11
4016.5,6031
4017,6008.68
4017.5,6039.09
4018,5931.31
4018.5,5860.46
4019,5816.68
4019.5,5748.21
4020,5705.98
4020.5,5649.58
4021,5641.37
4021.5,5668.29
4022,5678.2
4022.5,5695.35
4023,5768.35
4023.5,5872.83
4024,5945.73
4024.5,6096.98
4025,6335.42
4025.5,6634.94
4026,6765.13
4026.5,6764.84
4027,6676.35
4027.5,6511.54
4028,6443.41
4028.5,6364.3
4029,6249.99
4029.5,6134.9
4030,5996.7
4030.5,5968.43
4031,5968.57
4031.5,5828.92
4032,5510.46
4032.5,5353.38
4033,5192.57
4033.5,5099.25
4034,5020.12
4034.5,4936.27
4035,4864.01
4035.5,4918.42
4036,4936.54
4036.5,4895.93
4037,4931.77
4037.5,5044.01
4038,5132.47
4038.5,5243.72
4039,5332.52
4039.5,5520.2
4040,5537.46
4040.5,5587.8
4041,5586.25
4041.5,5550.36
4042,5460.57
4042.5,5393.57
4043,5307.73
4043.5,5273.19
4044,5242.34
4044.5,5234.72
4045,5220.49
4045.5,5224.17
4046,5291.2
4046.5,5377.11
4047,5447.5
4047.5,5569.87
4048,5754.6
4048.5,6039.05
4049,6383.43
4049.5,6717.83
4050,6954.86
4050.5,6928.21
4051,6890.77
4051.5,6731.37
4052,6635.02
4052.5,6601.65
4053,6391.85
4053.5,6266.78
4054,6055.92
4054.5,6009.61
4055,5885.34
4055.5,5769.34
4056,5502.93
4056.5,5328.47
4057,5210.37
4057.5,5091.36
4058,5040.62
4058.5,4980.77
4059,4944.89
4059.5,4969.76
4060,4993.03
4060.5,5065.03
4061,5184.7
4061.5,5395.44
4062,5677.8
4062.5,6065.61
4063,6427.17
4063.5,6801.16
4064,6781.86
4064.5,6561.14
4065,6335.86
4065.5,6215.55
4066,6042.57
4066.5,5957.55
4067,5914.87
4067.5,5906.57
4068,5971.06
4068.5,6070.99
4069,6148.8
4069.5,6154.7
4070,6144.43
4070.5,6171.97
4071,6169.85
4071.5,6281.32
4072,6469
4072.5,6619.64
4073,6895.99
4073.5,7212.22
4074,7405.07
4074.5,7343.98
4075,7316.91
4075.5,7115.87
4076,7014.48
4076.5,6934.74
4077,6723.01
4077.5,6573.02
4078,6357.97
4078.5,6218.97
4079,6070.45
4079.5,5906.66
4080,5589.67
4080.5,5405
4081,5288.62
4081.5,5154.62
4082,5066.79
4082.5,5054.86
4083,5000.3
4083.5,4961.67
4084,4986.67
4084.5,5082.33
4085,5187.3
4085.5,5391.93
4086,5633.47
4086.5,6031.43
4087,6426.52
4087.5,6765.15
4088,6735.81
4088.5,6553.13
4089,6388.97
4089.5,6313.47
4090,6175.99
4090.5,6075.71
4091,6024.22
4091.5,5995.99
4092,5982
4092.5,5928.78
4093,5952.71
4093.5,5964.34
4094,5985.18
4094.5,6070.86
4095,6088.03
4095.5,6203.83
4096,6334.5
4096.5,6510.12
4097,6805.31
4097.5,7108.62
4098,7282.09
4098.5,7282.58
4099,7267.91
4099.5,7071.67
4100,6973.18
4100.5,6947.11
4101,6693.95
4101.5,6513.09
4102,6310.88
4102.5,6139.24
4103,6020.82
4103.5,5811.18
4104,5546.62
4104.5,5417.18
4105,5234.7
4105.5,5121.98
4106,5046.85
4106.5,4977.11
4107,4995.69
4107.5,4955.35
4108,4952.05
4108.5,5086.3
4109,5227.57
4109.5,5515.78
4110,5777.33
4110.5,6226.15
4111,6560.28
4111.5,6913.84
4112,6870.34
4112.5,6670.38
4113,6407.86
4113.5,6255.83
4114,6083.2
4114.5,5982.56
4115,5894.66
4115.5,5800.01
4116,5779.9
4116.5,5769.98
4117,5809.52
4117.5,5882.11
4118,5917.28
4118.5,6019.68
4119,6115.85
4119.5,6182.5
4120,6323.68
4120.5,6520.08
4121,6788.3
4121.5,7115.61
4122,7342.69
4122.5,7397.08
4123,7367.14
4123.5,7195.76
4124,7108.06
4124.5,7008.97
4125,6763.33
4125.5,6631.53
4126,6423.19
4126.5,6297.37
4127,6221.84
4127.5,6049.9
4128,5688.83
4128.5,5500.42
4129,5300.29
4129.5,5167.64
4130,5079.97
4130.5,5087.36
4131,5045.77
4131.5,5065.77
4132,5063.98
4132.5,5118.13
4133,5240.74
4133.5,5431.12
4134,5668.67
4134.5,6099.65
4135,6431.89
4135.5,6800.52
4136,6773.89
4136.5,6607.81
4137,6386.2
4137.5,6252.01
4138,6048.7
4138.5,5949.78
4139,5847.86
4139.5,5829.35
4140,5805.88
4140.5,5805.1
4141,5856.28
4141.5,5879
4142,5936.69
4142.5,6012.7
4143,6062.93
4143.5,6151.93
4144,6284.21
4144.5,6506.46
4145,6733.53
4145.5,7053.32
4146,7284.68
4146.5,7279.41
4147,7298.18
4147.5,7171.35
4148,7130.08
4148.5,7084.87
4149,6882.72
4149.5,6660.19
4150,6409.79
4150.5,6253.06
4151,6167.64
4151.5,5972.5
4152,5689.65
4152.5,5466.32
4153,5358.45
4153.5,5226.73
4154,5156.34
4154.5,5115.26
4155,5094.49
4155.5,5091.01
4156,5138.88
4156.5,5203.9
4157,5274.95
4157.5,5529.15
4158,5812.81
4158.5,6239.29
4159,6605.06
4159.5,6972.44
4160,6949.53
4160.5,6717.37
4161,6514.56
4161.5,6321.15
4162,6162.85
4162.5,6033.72
4163,5913.73
4163.5,5826.25
4164,5766.44
4164.5,5707.61
4165,5763.22
4165.5,5786.52
4166,5865.81
4166.5,5976.94
4167,6031.22
4167.5,6114.71
4168,6255.05
4168.5,6421.18
4169,6640.18
4169.5,6895.68
4170,7071.95
4170.5,7054.18
4171,7015.17
4171.5,6942.78
4172,6870.81
4172.5,6862.23
4173,6672.55
4173.5,6511.06
4174,6319.55
4174.5,6266.72
4175,6166.27
4175.5,5998.54
4176,5707.44
4176.5,5558.45
4177,5381.8
4177.5,5263.6
4178,5140.14
4178.5,5083.94
4179,5041.36
4179.5,5046.56
4180,5001.65
4180.5,5064.96
4181,5106.71
4181.5,5239.33
4182,5351.23
4182.5,5521.16
4183,5741.05
4183.5,5995.43
4184,6090.25
4184.5,6163.29
4185,6137.99
4185.5,6031.26
4186,5808.34
4186.5,5684.12
4187,5575.88
4187.5,5414.3
4188,5366.25
4188.5,5308.62
4189,5277.81
4189.5,5306.07
4190,5358.23
4190.5,5434.16
4191,5523.53
4191.5,5649.02
4192,5786.58
4192.5,6014.27
4193,6283.41
4193.5,6586.58
4194,6734.4
4194.5,6747.41
4195,6710.92
4195.5,6620.12
4196,6529.34
4196.5,6444.05
4197,6305.64
4197.5,6197.89
4198,6005.33
4198.5,5974.76
4199,5950.69
4199.5,5847.02
4200,5561.53
4200.5,5360.72
4201,5255.28
4201.5,5114.67
4202,5051.79
4202.5,4955.01
4203,4966.98
4203.5,4931.15
4204,4929.83
4204.5,4965.07
4205,4992.46
4205.5,5099.64
4206,5164.96
4206.5,5238.76
4207,5360.28
4207.5,5570.68
4208,5641.19
4208.5,5686.02
4209,5657.61
4209.5,5635.23
4210,5542.84
4210.5,5416.67
4211,5299.42
4211.5,5192.75
4212,5121.6
4212.5,5090.15
4213,5087.18
4213.5,5075.37
4214,5164.56
4214.5,5244.21
4215,5313.31
4215.5,5464.69
4216,5636.67
4216.5,5909.3
4217,6187.39
4217.5,6482.71
4218,6736.26
4218.5,6780.62
4219,6756.28
4219.5,6624.1
4220,6488.81
4220.5,6450.11
4221,6288.81
4221.5,6168.44
4222,6040.02
4222.5,5994.52
4223,5880.49
4223.5,5750.1
4224,5497.47
4224.5,5337.08
4225,5202.46
4225.5,5064.29
4226,4991.87
4226.5,4949.8
4227,4926.35
4227.5,4943.17
4228,4929.03
4228.5,5036.2
4229,5147.57
4229.5,5380.66
4230,5663.94
4230.5,6012.24
4231,6313.61
4231.5,6591.44
4232,6593.35
4232.5,6478.72
4233,6313.52
4233.5,6243.97
4234,6060.03
4234.5,5984.87
4235,5873.73
4235.5,5570.01
4236,5365.69
4236.5,5369.36
4237,5787.13
4237.5,5829.04
4238,5925.03
4238.5,6028.86
4239,6116.22
4239.5,6219.21
4240,6376.63
4240.5,6561.48
4241,6779.43
4241.5,7042.84
4242,7224.39
4242.5,7213.04
4243,7201.45
4243.5,7054.06
4244,6971.95
4244.5,6860.31
4245,6641.24
4245.5,6485.72
4246,6267.11
4246.5,6197.79
4247,6129.86
4247.5,5961.71
4248,5635.59
4248.5,5428.77
4249,5268.98
4249.5,5133
4250,5012.24
4250.5,4971.79
4251,4938.87
4251.5,4969.71
4252,4985.23
4252.5,5084.1
4253,5189.07
4253.5,5402.62
4254,5664.89
4254.5,6064.24
4255,6337.83
4255.5,6618.9
4256,6584.21
4256.5,6606.25
4257,6614.8
4257.5,6513.19
4258,6389.49
4258.5,6289.4
4259,6166.71
4259.5,6145.48
4260,6068.76
4260.5,6097.15
4261,6122.04
4261.5,6189
4262,6204.46
4262.5,6197.68
4263,6283.19
4263.5,6355.55
4264,6441.72
4264.5,6567.24
4265,6794.39
4265.5,7082.99
4266,7241.96
4266.5,7215.71
4267,7203.73
4267.5,7033.11
4268,6938.44
4268.5,6838.01
4269,6599.33
4269.5,6484.58
4270,6309.15
4270.5,6173.05
4271,6068.8
4271.5,5915.71
4272,5638.95
4272.5,5421.83
4273,5279.91
4273.5,5114.84
4274,5058.63
4274.5,5044.63
4275,5038.02
4275.5,5012.98
4276,5039.64
4276.5,5131.03
4277,5224.27
4277.5,5433.02
4278,5692.52
4278.5,6040.66
4279,6291.76
4279.5,6584.46
4280,6588.24
4280.5,6514.81
4281,6438.68
4281.5,6322.57
4282,6160.4
4282.5,6059.49
4283,5971.54
4283.5,5967.83
4284,5970.65
4284.5,5997.99
4285,6041.09
4285.5,6092.89
4286,6164.08
4286.5,6276.18
4287,6277.9
4287.5,6374
4288,6470
4288.5,6611.62
4289,6776.68
4289.5,6984.35
4290,7114.71
4290.5,7101.99
4291,7081.22
4291.5,6961.49
4292,6885.37
4292.5,6852.84
4293,6632.95
4293.5,6496.73
4294,6262.87
4294.5,6185.79
4295,6104.77
4295.5,5925.81
4296,5602.3
4296.5,5421.81
4297,5282.07
4297.5,5165.08
4298,5090.25
4298.5,5027.01
4299,5000.88
4299.5,4981.4
4300,5046.64
4300.5,5111.43
4301,5198.69
4301.5,5424.97
4302,5650.98
4302.5,5983.66
4303,6275.08
4303.5,6525.16
4304,6502.5
4304.5,6446.21
4305,6358.33
4305.5,6305.21
4306,6152.89
4306.5,6046.74
4307,5999.89
4307.5,5935.9
4308,5917.08
4308.5,5918.96
4309,5919.45
4309.5,5965.32
4310,6054.57
4310.5,6171.62
4311,6228.58
4311.5,6333.17
4312,6430.12
4312.5,6580.9
4313,6793.44
4313.5,6980.72
4314,7161.33
4314.5,7134.39
4315,7126.5
4315.5,7031.01
4316,6925.88
4316.5,6839.61
4317,6668.52
4317.5,6503
4318,6286.31
4318.5,6208.06
4319,6149.75
4319.5,5934.25
4320,5625.39
4320.5,5456.66
4321,5297.58
4321.5,5180.1
4322,5064.32
4322.5,5043.17
4323,4984.27
4323.5,4995.27
4324,5017.41
4324.5,5056.15
4325,5187.34
4325.5,5404.05
4326,5662.66
4326.5,5955.66
4327,6145.91
4327.5,6445.28
4328,6487.78
4328.5,6497.88
4329,6420.29
4329.5,6285.82
4330,6065.83
4330.5,5939.04
4331,5867.03
4331.5,5792.64
4332,5759.87
4332.5,5772.35
4333,5782.94
4333.5,5794.18
4334,5856.11
4334.5,5911.3
4335,5995.66
4335.5,6072.81
4336,6205.65
4336.5,6421.44
4337,6661.78
4337.5,6881.92
4338,6984.47
4338.5,6977.95
4339,7000.84
4339.5,6882.8
4340,6819.08
4340.5,6768.6
4341,6597.45
4341.5,6464.41
4342,6330.45
4342.5,6232.2
4343,6172.7
4343.5,6009.25
4344,5695.22
4344.5,5507.16
4345,5343.05
4345.5,5220.58
4346,5130.58
4346.5,5059.65
4347,5034.15
4347.5,5000.45
4348,5014.88
4348.5,5071.98
4349,5103.01
4349.5,5222.4
4350,5341.99
4350.5,5515.24
4351,5723.92
4351.5,5926.46
4352,5999.02
4352.5,5997.99
4353,5968.24
4353.5,5896.29
4354,5714.12
4354.5,5583.95
4355,5426.04
4355.5,5335.31
4356,5235.32
4356.5,5205.01
4357,5192.84
4357.5,5182.71
4358,5218.14
4358.5,5286.33
4359,5367.44
4359.5,5534.42
4360,5709.38
4360.5,6014.16
4361,6313.64
4361.5,6664.86
4362,6897.85
4362.5,6928.67
4363,6958.72
4363.5,6865.01
4364,6784.3
4364.5,6739.81
4365,6628.43
4365.5,6503.74
4366,6364.81
4366.5,6293.98
4367,6245.91
4367.5,6046.02
4368,5716.56
4368.5,5558.63
4369,5395.82
4369.5,5266.68
4370,5157.47
4370.5,5066.19
4371,5077.83
4371.5,5033.72
4372,5044.73
4372.5,5080.4
4373,5106.14
4373.5,5227.3
4374,5270.88
4374.5,5426.57
4375,5601.98
4375.5,5816.71
4376,5902.17
4376.5,5940.42
4377,5901.73
4377.5,5840.14
4378,5693.71
4378.5,5539.51
4379,5417.46
4379.5,5268.98
4380,5139.18
4380.5,5150.75
4381,5087.6
4381.5,5075.78
4382,5120.42
4382.5,5184
4383,5348.11
4383.5,5481.05
4384,5688.44
4384.5,6006.59
4385,6359.2
4385.5,6672.62
4386,6986.75
4386.5,6997.75
4387,6985.22
4387.5,6853.24
4388,6815.07
4388.5,6785.32
4389,6657.51
4389.5,6524.05
4390,6303.74
4390.5,6171.1
4391,6088.21
4391.5,5897.13
4392,5597.18
4392.5,5441.02
4393,5315.71
4393.5,5176.52
4394,5077.63
4394.5,5099.06
4395,5094.66
4395.5,5099.85
4396,5079.99
4396.5,5186.55
4397,5263.46
4397.5,5540.45
4398,5762.26
4398.5,6208.21
4399,6534.56
4399.5,6882.03
4400,6879.8
4400.5,6792.95
4401,6646.7
4401.5,6485.73
4402,6279.79
4402.5,6163.07
4403,6055.96
4403.5,5942.52
4404,5925.35
4404.5,5918.63
4405,5980.17
4405.5,6057.44
4406,6172.36
4406.5,6255.16
4407,6297.5
4407.5,6391.94
4408,6446.16
4408.5,6635.45
4409,6885.94
4409.5,7164.32
4410,7379.07
4410.5,7393.72
4411,7355.25
4411.5,7197.62
4412,7104.69
4412.5,6990.33
4413,6789.76
4413.5,6604.14
4414,6377.96
4414.5,6249.96
4415,6149.95
4415.5,5967.49
4416,5676.36
4416.5,5507.6
4417,5312.19
4417.5,5135.51
4418,5018.46
4418.5,4996.82
4419,4987.45
4419.5,4968.11
4420,4998.97
4420.5,5069.17
4421,5153.61
4421.5,5374.4
4422,5572.71
4422.5,5966.96
4423,6237.75
4423.5,6461.95
4424,6538.93
4424.5,6489.7
4425,6369.21
4425.5,6174.54
4426,6021.08
4426.5,5895.72
4427,5825.78
4427.5,5773.2
4428,5724.71
4428.5,5764.58
4429,5779
4429.5,5822.93
4430,5909.77
4430.5,5974.33
4431,6058.96
4431.5,6223.17
4432,6302.43
4432.5,6462.07
4433,6731.61
4433.5,6921.27
4434,7119.44
4434.5,7169.67
4435,7148.13
4435.5,6986.95
4436,6869.33
4436.5,6800.39
4437,6613.18
4437.5,6481.78
4438,6278.9
4438.5,6155.24
4439,6032.88
4439.5,5844.99
4440,5573.71
4440.5,5352.58
4441,5193.55
4441.5,5059.83
4442,5023.77
4442.5,4978.45
4443,4950.11
4443.5,4951.65
4444,4972.44
4444.5,5053.95
4445,5151.67
4445.5,5374.81
4446,5581.64
4446.5,5948.33
4447,6277.89
4447.5,6637.92
4448,6608.81
4448.5,6486.01
4449,6345.58
4449.5,6190.55
4450,6010.47
4450.5,5918.07
4451,5805.28
4451.5,5720.53
4452,5701.06
4452.5,5684.85
4453,5679.32
4453.5,5728.09
4454,5830.24
4454.5,5949.42
4455,6055.82
4455.5,6222.45
4456,6385.81
4456.5,6551.97
4457,6753.61
4457.5,7005.09
4458,7124.75
4458.5,7107.84
4459,7059.01
4459.5,6896.01
4460,6799.67
4460.5,6702.83
4461,6534.18
4461.5,6394.57
4462,6197.71
4462.5,6075.62
4463,6013.22
4463.5,5877.3
4464,5566.1
4464.5,5345.16
4465,5235.11
4465.5,5064.38
4466,5020.93
4466.5,4951.83
4467,4949.3
4467.5,4920.55
4468,4931.6
4468.5,5037.73
4469,5135.58
4469.5,5356.62
4470,5593.21
4470.5,5939.18
4471,6239.76
4471.5,6559.07
4472,6610.09
4472.5,6556.45
4473,6440.06
4473.5,6251.32
4474,6038.48
4474.5,5909.03
4475,5816.96
4475.5,5741.16
4476,5702.01
4476.5,5685.82
4477,5673.6
4477.5,5688.13
4478,5790.06
4478.5,5933.48
4479,6006.5
4479.5,6161.63
4480,6285.95
4480.5,6402.89
4481,6652.99
4481.5,6920.41
4482,7126.09
4482.5,7141.35
4483,7154
4483.5,7053.91
4484,6974.18
4484.5,6903.54
4485,6743.88
4485.5,6574.72
4486,6354.02
4486.5,6209.07
4487,6134.36
4487.5,5890.85
4488,5575.81
4488.5,5377.93
4489,5270.81
4489.5,5139.66
4490,5027.64
4490.5,4953.84
4491,4961.75
4491.5,4959.28
4492,5000.9
4492.5,5067.89
4493,5184.07
4493.5,5386.27
4494,5634.42
4494.5,5961.57
4495,6245.06
4495.5,6640.75
4496,6776.11
4496.5,6863.56
4497,6839.71
4497.5,6861.53
4498,6831.2
4498.5,6821.06
4499,6762.21
4499.5,6678.18
4500,6697.64
4500.5,6723.6
4501,6655.26
4501.5,6586.84
4502,6572.81
4502.5,6549.7
4503,6555.68
4503.5,6590.02
4504,6649.85
4504.5,6767.55
4505,6908.96
4505.5,7135.68
4506,7281.46
4506.5,7309.33
4507,7274.12
4507.5,7120.07
4508,7030.8
4508.5,6967.04
4509,6801.46
4509.5,6661.47
4510,6442.16
4510.5,6269.91
4511,6228.19
4511.5,6069.2
4512,5743.21
4512.5,5559.73
4513,5394.77
4513.5,5227.64
4514,5122.57
4514.5,5056.37
4515,5048.4
4515.5,5038.88
4516,5025.54
4516.5,5065.7
4517,5098.42
4517.5,5229.74
4518,5293.06
4518.5,5461.28
4519,5619.66
4519.5,5857.9
4520,5940.5
4520.5,5938.24
4521,5895.45
4521.5,5805.54
